,Year,Team,Player,Season,School,Conf,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,SOS
92,2002,CLE,Dajuan Wagner,Career,Memphis,,36.0,35.0,31.8,7.4,18.0,0.41,5.5,12.2,0.45299999999999996,1.8,5.8,0.317,4.6,6.4,0.722,0.5,2.0,2.5,3.6,1.2,0.6,2.9,2.8,21.2,,4.72
93,2002,LAC,Chris Wilcox,Career,Maryland,,70.0,27.0,16.6,3.2,6.2,0.52,3.2,6.1,0.522,0.0,0.0,0.0,1.5,2.6,0.589,1.8,3.0,4.7,1.0,0.5,1.0,1.0,2.0,7.9,,10.19
95,2002,WAS,Jared Jeffries,Career,Indiana,,70.0,70.0,32.6,5.0,11.2,0.45,4.5,9.5,0.47200000000000003,0.6,1.7,0.325,3.8,5.8,0.643,2.4,4.8,7.2,2.2,1.2,1.3,2.9,2.7,14.4,,11.56
96,2002,LAC,Melvin Ely,Career,Fresno State,,124.0,92.0,32.5,6.4,11.0,0.5770000000000001,6.4,11.0,0.578,0.0,0.0,0.33299999999999996,3.0,4.6,0.648,,,7.5,1.1,0.8,2.9,2.4,2.3,15.7,,4.4
97,2002,MIL,Marcus Haislip,Career,Tennessee,,89.0,25.0,17.1,3.1,5.9,0.53,2.7,4.7,0.568,0.4,1.1,0.373,1.7,2.5,0.705,,,3.4,0.5,0.3,1.3,1.1,2.4,8.4,,9.77
98,2002,IND,Fred Jones,Career,Oregon,,125.0,92.0,28.2,4.4,9.2,0.48100000000000004,3.3,5.7,0.568,1.2,3.5,0.33799999999999997,3.1,3.9,0.805,,,5.0,2.9,1.2,0.6,2.4,2.5,13.2,,8.05
99,2002,WAS,Juan Dixon,Career,Maryland,,141.0,107.0,28.4,5.7,12.1,0.46799999999999997,4.0,7.8,0.513,1.7,4.4,0.389,3.0,3.6,0.85,,,4.2,2.6,2.4,0.2,2.5,2.0,16.1,,9.73
100,2002,ORL,Curtis Borchardt,Career,Stanford,,66.0,29.0,21.6,3.5,6.6,0.534,3.3,6.0,0.551,0.2,0.6,0.375,2.9,4.2,0.691,,,7.2,1.2,0.4,2.2,1.4,2.3,10.2,,8.67
101,2002,UTA,Ryan Humphrey,Career,Overall,,123.0,114.0,28.8,5.3,10.6,0.495,5.2,10.5,0.497,0.1,0.2,0.364,2.7,5.0,0.536,,,8.4,1.3,0.9,2.3,2.2,2.9,13.3,,5.21
102,2002,TOR,Kareem Rush,Career,Missouri,,84.0,66.0,30.2,6.5,14.7,0.445,3.9,8.3,0.46399999999999997,2.7,6.4,0.42200000000000004,3.1,4.0,0.777,,,5.4,2.1,1.2,0.6,2.8,2.3,18.9,,8.07
103,2002,PHO,Casey Jacobsen,Career,Stanford,,95.0,82.0,31.8,5.8,12.2,0.47,3.4,6.8,0.505,2.3,5.5,0.42700000000000005,4.3,5.6,0.7709999999999999,,,3.8,2.7,0.5,0.1,2.0,1.4,18.1,,8.67
104,2002,DET,Tayshaun Prince,Career,Kentucky,,135.0,109.0,29.8,4.8,10.5,0.457,3.3,5.9,0.556,1.5,4.6,0.32899999999999996,2.0,2.7,0.743,,,5.6,1.9,0.8,1.1,1.7,1.4,13.1,,11.42
105,2002,DEN,Frank Williams,Career,Illinois,,101.0,97.0,31.7,4.6,11.7,0.396,3.3,7.6,0.433,1.3,4.1,0.326,3.7,4.6,0.807,,,4.0,4.3,2.1,0.3,2.7,1.8,14.3,,10.3
106,2002,SAS,John Salmons,Career,Miami (FL),,124.0,107.0,30.8,3.6,7.7,0.466,2.9,5.5,0.523,0.7,2.2,0.321,2.5,3.1,0.805,,,5.5,3.5,1.5,0.7,2.6,2.5,10.4,,6.25
107,2002,LAL,Chris Jefferies,Career,Overall,,88.0,75.0,28.0,4.4,10.1,0.436,3.0,6.1,0.5,1.4,4.0,0.338,2.8,4.5,0.628,,,4.8,1.8,1.1,1.2,2.4,2.3,12.9,,5.45
108,2002,SAC,Dan Dickau,Career,Overall,,97.0,67.0,25.5,3.9,8.7,0.451,1.7,3.9,0.436,2.2,4.8,0.462,3.3,3.8,0.854,,,2.4,3.7,0.7,0.1,2.6,1.8,13.3,,4.85
109,2002,GSW,Steve Logan,Career,Cincinnati,,135.0,106.0,28.9,4.7,10.9,0.435,2.8,5.9,0.483,1.9,5.1,0.37799999999999995,3.3,3.8,0.861,,,2.2,3.4,0.7,0.0,1.7,1.7,14.7,,7.66
110,2002,CHI,Roger Mason,Career,Virginia,,89.0,68.0,29.6,4.4,10.0,0.436,2.8,5.9,0.479,1.5,4.1,0.375,3.6,4.1,0.8690000000000001,,,3.0,2.6,1.0,0.4,2.2,2.3,13.8,,7.61
111,2002,MEM,Robert Archibald,Career,Illinois,,130.0,61.0,16.2,2.0,3.5,0.57,2.0,3.5,0.5710000000000001,0.0,0.0,0.0,2.2,3.2,0.6809999999999999,,,4.1,0.8,0.5,0.6,1.6,3.0,6.2,,10.69
112,2002,DEN,Vincent Yarbrough,Career,Tennessee,,127.0,125.0,30.4,4.8,11.0,0.44,3.4,6.8,0.5,1.4,4.1,0.34,2.6,3.8,0.687,,,6.8,2.3,1.7,1.0,2.2,1.9,13.7,,8.94
